    Subject           Activity tBodyAcc-mean()-X tBodyAcc-mean()-Y tBodyAcc-mean()-Z
116      17   WALKING_UPSTAIRS         0.2526048      -0.022864561       -0.12129044
117      17 WALKING_DOWNSTAIRS         0.2939183      -0.016735940       -0.08924327
118      17            SITTING         0.2773570      -0.014156274       -0.11362409
119      17           STANDING         0.2779425      -0.017412006       -0.11143215
120      17             LAYING         0.2697801      -0.016846201       -0.10700628
121      19            WALKING         0.2739312      -0.019177359       -0.12273667
122      19   WALKING_UPSTAIRS         0.2421188      -0.030398662       -0.15105461
123      19 WALKING_DOWNSTAIRS         0.2626881      -0.014594228       -0.13369524
124      19            SITTING         0.2738303      -0.016739260       -0.10870765
125      19           STANDING         0.2781723      -0.015424406       -0.10904190
126      19             LAYING         0.2726537      -0.017142686       -0.10898146
127      21            WALKING         0.2791835      -0.018161032       -0.10431933
128      21   WALKING_UPSTAIRS         0.2651945      -0.023721870       -0.12541427
129      21 WALKING_DOWNSTAIRS         0.3014610      -0.017319539       -0.09816866
130      21            SITTING         0.2775396      -0.014400971       -0.11205789
131      21           STANDING         0.2769522      -0.016708473       -0.11041786
132      21             LAYING         0.2713255      -0.018423305       -0.10325383
133      22            WALKING         0.2788646      -0.016721361       -0.10711251
134      22   WALKING_UPSTAIRS         0.2483915      -0.026862256       -0.11755086
135      22 WALKING_DOWNSTAIRS         0.2844590      -0.019799937       -0.10741578
136      22            SITTING         0.2735838      -0.012346845       -0.10582737
137      22           STANDING         0.2790539      -0.015856321       -0.10496742
138      22             LAYING         0.2799597      -0.014262986       -0.11080092
139      23            WALKING         0.2732119      -0.018361871       -0.11338299
140      23   WALKING_UPSTAIRS         0.2499952      -0.032384403       -0.12689062
141      23 WALKING_DOWNSTAIRS         0.2898974      -0.016211146       -0.09881237
142      23            SITTING         0.2733513      -0.013394502       -0.10380868
143      23           STANDING         0.2778993      -0.017747555       -0.11059702
144      23             LAYING         0.2740380      -0.021655384       -0.10425678
145      25            WALKING         0.2789928      -0.018647762       -0.10873764
146      25   WALKING_UPSTAIRS         0.2779954      -0.026986352       -0.12621044
147      25 WALKING_DOWNSTAIRS         0.2913297      -0.021017052       -0.10719238
    tGravityAcc-mean()-X tGravityAcc-mean()-Y tGravityAcc-mean()-Z tBodyAccJerk-mean()-X
1              0.9130173         -0.346607090          0.084727087            0.06180807
2              0.7907174         -0.416214890         -0.195888239            0.07445078
3              0.8618313         -0.325780101         -0.043889016            0.11004062
4              0.9404773         -0.105630024          0.198726769            0.07225644
5              0.8969286         -0.370062697          0.129747161            0.07475886
6             -0.5097542          0.752536639          0.646834880            0.08259725
7              0.9639997         -0.085854027          0.127764113            0.07835291
8              0.9462643         -0.232944305          0.084167538            0.05609719
9              0.9477319         -0.062085277          0.148714809            0.09718627
10             0.8693030          0.211622540          0.110120481            0.07845002
11             0.9561978         -0.075900906          0.166893826            0.07213284
12            -0.4206647          0.915165104          0.341531311            0.09344942
13             0.9518671         -0.031434174         -0.115856121            0.07043573
14             0.9026478         -0.037794782         -0.266009867            0.06922662
15             0.9384178         -0.035230465         -0.082276175            0.13019304
16             0.9163245         -0.041425823          0.085263099            0.07700501
17             0.9613235         -0.010383816          0.009147692            0.07600321
18            -0.5802528         -0.119154196          0.957873042            0.08807345
19             0.9630921         -0.083827701          0.054927624            0.08579438
20             0.9318610         -0.056567028          0.022752770            0.06488293
21             0.9398074         -0.064616077          0.041871541            0.10095939
22             0.7918872         -0.041260775          0.202534573            0.07753725
23             0.9540088         -0.043159783          0.034698021            0.08097844
24            -0.4530697         -0.139297681         -0.031121624            0.07381506
25             0.9668735         -0.155983450         -0.036084288            0.04576440
26             0.9383715         -0.259144203         -0.070250382            0.07286608
27             0.9498620         -0.178702175         -0.056105062            0.06215003
28             0.9262290          0.083050901          0.088564070            0.07712777
29             0.9573178         -0.218865356         -0.039538277            0.07446318
30            -0.3785921          0.803378835          0.275043198            0.08542954
31             0.9108557         -0.283658581         -0.131299719            0.08095902
32             0.8476343         -0.357404502         -0.207507171            0.06924421
33             0.9418756         -0.211555113         -0.095082034            0.10170454
34             0.9255765          0.101769752          0.075777386            0.07528659
35             0.9426953         -0.239943146         -0.052485661            0.07586310
36            -0.1568522          0.656400944          0.598884989            0.07677748
37             0.9238652         -0.254317086         -0.060931342            0.07675243
38             0.8833303         -0.316619946         -0.106112549            0.08124020
39             0.9322775         -0.225809125         -0.049363673            0.08090440
40             0.9098165          0.129886476          0.161877418            0.07662289
41             0.9475732         -0.204206321         -0.048576711            0.07535395
42            -0.2206005          0.719755404          0.605495318            0.07499850
43             0.8999652         -0.344443913         -0.035130214            0.08412343
44             0.7770957         -0.479894843         -0.130117635            0.08364513
45             0.9197266         -0.277419719         -0.028259158            0.06950311
46             0.9244545          0.073338541          0.151679135            0.07465684
47             0.9112318         -0.305938717          0.070865529            0.07635562
48            -0.4724314          0.864882957          0.477573305            0.08927160
49             0.9597011         -0.115116242         -0.140910030            0.07319390
50             0.9063695         -0.237498409         -0.227134869            0.08623101
51             0.9508834         -0.128326711         -0.140123155            0.08026198
52             0.9196376          0.182254652          0.109559621            0.07633185
53             0.9664423         -0.145201301         -0.053058540            0.07461774
54            -0.3592925          0.738430699          0.683839910            0.08072123
55             0.9352232         -0.282165021         -0.068102864            0.07404163
56             0.8933511         -0.362153364         -0.075402940            0.10137273
57             0.9318744         -0.266610339         -0.062119959            0.05415532
58             0.8315099          0.204411593          0.332043703            0.07748252
59             0.9429520         -0.272983832          0.013490582            0.07537665
60            -0.2488818          0.705549773          0.445817720            0.08108653
61             0.9365067         -0.261986358         -0.138107866            0.08147459
62             0.8835334         -0.382851154         -0.162943955            0.04268810
63             0.9390578         -0.228829214         -0.102352758            0.07256893
64             0.9010990          0.127303379          0.139020582            0.07260984
65             0.9350308         -0.301735130          0.024763107            0.07509006
66            -0.2417585          0.837032100          0.488703185            0.07698111
67             0.9726250         -0.100440285          0.002476236            0.08458888
68             0.9368218         -0.265942569         -0.023203536            0.07954435
69             0.9566494         -0.060757832          0.021677791            0.10965060
70             0.8807314          0.168445524          0.143006858            0.07495774
71             0.9601887         -0.038710127          0.138638437            0.07251899
72            -0.4834706          0.954890346          0.263644692            0.08481648
73             0.9580675         -0.214694852          0.033188883            0.06995859
74             0.9136322         -0.340732609         -0.018460896            0.07210675
75             0.9285315         -0.214046334         -0.003079817            0.10368134
76             0.9336929          0.068262866          0.069521966            0.07547216
77             0.9451390         -0.230251036          0.013919347            0.07306996
78            -0.4767099          0.956593814          0.175867709            0.09634820
79             0.9325665         -0.159097004         -0.160846924            0.09014626
80             0.8187466         -0.240950944         -0.403599710            0.07246499
81             0.9306236         -0.129871673         -0.154935539            0.09689262
82             0.9691478          0.006088466          0.064963625            0.06685198
83             0.9587287         -0.117607049         -0.051657372            0.07519151
84            -0.5028143          0.393444278          0.907537823            0.09689040
85             0.9135863         -0.217102195         -0.186267837            0.07033935
86             0.8603687         -0.291341492         -0.192306961            0.08138168
87             0.9140235         -0.187610243         -0.141817935            0.11893809
88             0.8324539          0.240095117          0.263895186            0.07867138
89             0.9576699         -0.090460349         -0.097939202            0.07537390
90            -0.4059300          0.589922435          0.719831539            0.08783269
91             0.9464685         -0.212045870          0.134053215            0.08297093
92             0.8926262         -0.343576925          0.146633747            0.09685617
93             0.9417464         -0.200321943          0.132371685            0.08971687
94             0.8719638          0.213716306          0.188531696            0.07617773
95             0.9564645         -0.173082705          0.127198423            0.07600977
96            -0.1348320          0.943017941          0.112620190            0.07666453
97             0.8029740         -0.270314823         -0.422495268            0.07208779
98             0.6882561         -0.322680365         -0.495088720            0.08033030
99             0.8162964         -0.264254675         -0.392555882            0.04286316
100            0.9390388         -0.036453396         -0.094597053            0.07418788
101            0.8753196         -0.226692231         -0.338174889            0.07379337
102           -0.1454836          0.485396927          0.836562910            0.09814038
103            0.9515244         -0.233918283          0.075735673            0.08977707
104            0.9185448         -0.314961013          0.081180341            0.07297243
105            0.9323022         -0.167462317          0.078882241            0.07114572
106            0.8903643          0.210849305          0.002815660            0.07847928
107            0.9655289         -0.164713175          0.064597599            0.07522807
108           -0.1719931          0.899242553         -0.036919291            0.07675154
109            0.9259813         -0.066824647         -0.217351194            0.07702238
110            0.8268743         -0.080592603         -0.379059698            0.07625267
111            0.9178184         -0.058483268         -0.225382496            0.09078571
112            0.9424574         -0.086588254          0.089268220            0.07343467
113            0.9415877         -0.057886704         -0.166737468            0.07364389
114           -0.2067837         -0.019927023          0.893884469            0.07839603
115            0.9281124         -0.179927383         -0.190265950            0.07731886
116            0.8535306         -0.284153753         -0.298171464            0.07680442
117            0.9288176         -0.151077058         -0.160962986            0.11825086
118            0.9448837         -0.002814673         -0.135803882            0.07507099
119            0.9046785         -0.257486818         -0.202687757            0.07408650
120           -0.1991331          0.658792072          0.722657502            0.07790897
121            0.9352226         -0.223338100         -0.089842880            0.08222463
122            0.8294284         -0.387100709         -0.221008763            0.08315451
123            0.8819409         -0.215018042         -0.126146869            0.07309303
124            0.5813715          0.360343535          0.489126595            0.07537471
125            0.9440458         -0.223897808          0.130643718            0.07541204
126           -0.6800432          0.725646623          0.687623853            0.07723180
127            0.8625248         -0.370984549         -0.220947960            0.07822518
128            0.7811772         -0.432309617         -0.309735039            0.10403422
129            0.8726832         -0.356673290         -0.187870253            0.09014529
130            0.9400314          0.021520671         -0.056776606            0.07571098
131            0.8812133         -0.346155559         -0.207685690            0.07545439
132           -0.1743492          0.599992678          0.788251027            0.08201502
133            0.9360964         -0.259644937          0.023378006            0.06277776
134            0.8894544         -0.336826910         -0.095797899            0.08771722
135            0.9218206         -0.222215179          0.041298796            0.10158464
136            0.8393059          0.208553884          0.315551492            0.08076873
137            0.9540643         -0.226418774          0.032382498            0.07523229
138           -0.4184946          0.632484076          0.771903907            0.07522022
139            0.9398097         -0.161761370         -0.160763360            0.09873191
140            0.8434388         -0.214481808         -0.355934450            0.07236500
141            0.9237114         -0.110028842         -0.153671532            0.05780106
142            0.9365092          0.121751062          0.063011156            0.07700224
143            0.9198571         -0.117401360         -0.223631181            0.07502065
144           -0.3915650          0.438434067          0.918782825            0.08317876
145            0.9374831         -0.127315871          0.188416273            0.07217207
146            0.9276932         -0.217641282          0.108230987            0.07400414
147            0.9296275         -0.072427018          0.218795958            0.11065693
    tBodyAccJerk-mean()-Y tBodyAccJerk-mean()-Z tBodyGyro-mean()-X tBodyGyro-mean()-Y tBodyGyro-mean()-Z
1            1.824927e-02          7.895337e-03      -0.0530258157       -0.048238232       0.0828336633
2           -9.709855e-03          1.948144e-02      -0.0576912635       -0.032088310       0.0688374022
3           -3.279591e-03         -2.093517e-02      -0.1159473529       -0.004823292       0.0971738089
4            1.169545e-02          7.605469e-03      -0.0454706620       -0.059928680       0.0412277462
5            1.032918e-02         -8.371588e-03      -0.0238623876       -0.082039658       0.0878351695
6            1.225479e-02         -1.802649e-03      -0.0184766067       -0.111800825       0.1448828461
7            2.956024e-03         -7.676793e-04      -0.0317982558       -0.072690528       0.0805677161
8            2.340190e-02          3.402808e-03       0.0393825199       -0.085947168       0.0843753843
9            5.637802e-03         -7.291378e-03      -0.1028388225       -0.070402595       0.0592639495
10          -1.085822e-02         -1.215000e-02      -0.0494435116       -0.089430061       0.1011503348
11          -6.530157e-03         -2.118899e-02      -0.0306449342       -0.061824851       0.0755636431
12           6.933132e-03         -6.410543e-03      -0.0092315635       -0.093012818       0.1697204041
13           2.122559e-02          4.147627e-03      -0.0808360599       -0.062559871       0.1116297799
14           1.266122e-03          7.660466e-03      -0.1639671900       -0.041258791       0.1456946259
15          -2.068660e-02          2.625689e-03      -0.0916383011       -0.071259884       0.1168044007
16           9.817397e-03         -8.674673e-03      -0.0423288768       -0.041427118       0.0807919286
17           1.306998e-02         -4.700786e-03      -0.0291831363       -0.060810158       0.0992409332
18           1.156173e-02         -7.053678e-03      -0.0136320361       -0.158902920       0.1012750107
19           4.082488e-03         -1.629532e-02       0.0106894976       -0.081954078       0.0986695731
20           2.663143e-02         -5.133758e-02       0.0733447168       -0.095460022       0.0879664183
21           1.078249e-02          1.526172e-04      -0.1248395943       -0.106742539       0.0724433686
22           8.978755e-03         -4.995664e-03      -0.0432432177       -0.067999360       0.0745958869
23           1.190076e-02         -4.858410e-03      -0.0281854326       -0.087682049       0.1032515607
24           1.569900e-02          7.166896e-03      -0.0195559372       -0.077032566       0.1047204783
25           1.977669e-02          5.025870e-03      -0.1045136709       -0.034429108       0.0999739123
26          -6.894949e-03          9.066628e-03      -0.0931234102       -0.041131452       0.0898022758
27          -1.192892e-02          4.852624e-03      -0.1125315644       -0.042733669       0.0895434978
28           1.059905e-02         -2.045760e-03      -0.0424159183       -0.075198040       0.0728462158
29           1.004800e-02         -7.881314e-03      -0.0300030427       -0.070008375       0.0742568190
30           7.744083e-03         -4.371484e-03      -0.0146546807       -0.083553735       0.1451918480
31           3.083645e-03          5.972490e-03      -0.0174207635       -0.079847250       0.0784205641
32          -1.280098e-03         -2.541263e-02      -0.1382937623        0.003819669       0.1166795633
33          -7.518682e-03         -2.529777e-02      -0.1226722018       -0.023720572       0.1112842397
34          -1.123441e-03         -2.323972e-02      -0.0355124857       -0.090268740       0.0823432027
35           7.620352e-03         -7.049793e-04      -0.0295492164       -0.075320524       0.0854712469
36           1.834419e-02         -9.883897e-03      -0.0097360997       -0.096625070       0.1178196148
37           2.827455e-02          1.068509e-02      -0.0399399716       -0.061372736       0.0944718395
38           2.116547e-02          9.358966e-03      -0.0470683915       -0.052613382       0.0906736478
39          -7.570694e-04         -1.417699e-02      -0.0576548656       -0.063621434       0.0987471683
40           6.945603e-03          2.787570e-03      -0.0333057034       -0.068579634       0.0848140512
41           1.046987e-02         -1.816405e-03      -0.0265873249       -0.073226013       0.0843190676
42           1.170190e-02         -1.213448e-03      -0.0251761807       -0.083758731       0.0937781948
43          -2.106196e-02          6.344572e-03      -0.0234104226       -0.074105055       0.0851359929
44           6.599826e-03         -2.454210e-02       0.0659193259       -0.174650965       0.0587019418
45           4.364496e-03         -2.534821e-03      -0.1113677476        0.013902340       0.1039004805
46           5.974303e-03          1.601349e-03      -0.0364059290       -0.065068935       0.0642882138
47           1.169302e-02         -6.136819e-03      -0.0241335050       -0.069830892       0.0773671449
48           1.108225e-03         -3.098918e-03      -0.0231760616       -0.095489963       0.1236802099
49           1.212546e-02         -1.164014e-02      -0.0545126871       -0.065843588       0.0972006320
50          -1.508160e-02         -1.323537e-02       0.0883163772       -0.105932947       0.0248290703
51          -4.473163e-03         -8.469159e-03      -0.0867069011       -0.054230025       0.1119736506
52           4.767026e-03         -1.133002e-03      -0.0356229620       -0.075013270       0.0800440231
53           1.098397e-02         -3.587749e-03      -0.0278611511       -0.069254667       0.0771246149
54           1.198195e-02         -5.892258e-03      -0.0143679929       -0.095553805       0.1117307463
55           2.827211e-02         -4.168406e-03      -0.0418309635       -0.069530046       0.0849448173
56           1.948631e-02         -4.556254e-02       0.0505493798       -0.166170015       0.0583595464
57           2.965045e-02         -1.097197e-02      -0.0350781903       -0.090937129       0.0900850142
58          -6.191028e-04         -3.367792e-03      -0.0453500565       -0.091924155       0.0629313812
59           7.975731e-03         -3.685250e-03      -0.0239877348       -0.059397221       0.0748007510
60           3.838204e-03          1.083424e-02      -0.0165530940       -0.064486124       0.1486894363
61           1.005915e-02         -5.622646e-03      -0.0256405193       -0.077915094       0.0813485943
62           3.972493e-02          2.082055e-02       0.0721980309       -0.139275406       0.0215603697
63           1.097078e-02         -2.027280e-03      -0.1315732765       -0.013935804       0.1238267384
64           2.725291e-03         -4.233484e-03      -0.0385365205       -0.075241003       0.0940113976
65           7.716636e-03         -8.071779e-03      -0.0246626071       -0.058510192       0.0665262054
66           1.380410e-02         -4.356259e-03      -0.0208170540       -0.071850716       0.1379995611
67          -1.631941e-02          8.321594e-05      -0.0488919897       -0.069013525       0.0815435496
68           1.401304e-02         -2.559095e-02       0.0395191121       -0.117195552       0.0424442819
69           1.376182e-02          2.133977e-02      -0.0682945699       -0.070780600       0.0806559990
70          -2.787733e-03          3.386096e-03      -0.0422355210       -0.083548408       0.0823934452
71          -2.219902e-03         -1.228122e-02      -0.0322711903       -0.050987505       0.0690945764
72           7.474608e-03         -3.040672e-03      -0.0218935014       -0.079870960       0.1598943669
73          -1.648317e-02         -7.389312e-03      -0.0255096186       -0.074446247       0.0838808799
74           3.713434e-03         -2.378166e-03      -0.0767406826       -0.051898199       0.0664234026
75           9.876858e-03         -9.324706e-03      -0.0960837438       -0.034178221       0.0870012595
76           2.556498e-06          6.237278e-03      -0.0372442283       -0.089908330       0.0854346006
77           8.718840e-03         -4.817122e-03      -0.0282519130       -0.058982364       0.0767394746
78          -1.145292e-03          3.288173e-03      -0.0079605027       -0.107218315       0.1791020582
79           1.843227e-02         -2.103986e-02       0.0022883521       -0.083711372       0.0641104602
80          -8.123871e-04         -7.451967e-05      -0.1387781080       -0.002471620       0.1392170715
81          -1.910611e-02         -1.603904e-02      -0.1054096130       -0.049717461       0.1168947690
82           1.168634e-02          1.620041e-02      -0.0496379720       -0.033611965       0.0259476655
83           6.947004e-03         -1.084203e-02      -0.0291582213       -0.077433644       0.0851045001
84           2.506242e-02         -1.316539e-02      -0.0028264191       -0.133605695       0.1559200298
85          -6.039475e-03         -6.737989e-04       0.0235088228       -0.095791791       0.0509657915
86           1.412059e-02         -6.745839e-02       0.1927044760       -0.204205356      -0.0724546026
87          -3.801938e-02         -3.943562e-02      -0.1211896260       -0.050076017       0.1141438552
88          -6.575163e-03         -1.068089e-02      -0.0547396987       -0.095508924       0.0716048810
89           8.149517e-03          3.221533e-03      -0.0219671978       -0.028011763       0.0636889070
90           2.332992e-02         -1.692188e-02       0.0053536121       -0.089137414       0.1381883074
91           1.276825e-02         -1.336483e-02      -0.0426928995       -0.070510497       0.0843744496
92          -1.326253e-02         -1.514639e-02      -0.0820909702       -0.056692881       0.0638054380
93           2.522742e-02         -2.252089e-02      -0.1250686991       -0.026277535       0.0575244574
94          -2.138386e-04          8.334008e-03      -0.0399984916       -0.075528448       0.0761739419
95           1.241310e-02         -7.459162e-04      -0.0293141521       -0.076546504       0.0810588216
96           1.221939e-02          2.776905e-03      -0.0191743840       -0.041559990       0.1520190159
97           2.411602e-02          1.997230e-02      -0.0034765506       -0.082968285       0.0513222718
98          -1.831312e-02          3.441995e-03       0.0813841685       -0.123499570      -0.0441381887
99           2.913394e-02          1.049526e-02      -0.0147079653       -0.094528841       0.0353344538
100         -4.361860e-03         -1.057445e-02      -0.0440403327       -0.071347828       0.0928523607
101          5.795662e-03         -7.207778e-03      -0.0220886527       -0.055810883       0.0790475887
102         -8.315071e-03         -3.236015e-02       0.0050522118       -0.153423808       0.1491240582
103          8.905886e-03          6.587062e-04      -0.0554883848       -0.061242788       0.0842484921
104         -4.173618e-03         -5.258799e-03       0.0903340030       -0.154721289       0.0911681485
105          1.511590e-02         -1.002129e-02      -0.1366186531       -0.034675573       0.0711758198
106         -8.984376e-03         -2.372075e-03      -0.0377111130       -0.080342876       0.0951978084
107          6.172555e-03         -6.587371e-03      -0.0262433562       -0.065963752       0.0761946739
108          1.239843e-02         -4.439280e-03      -0.0168300888       -0.061970087       0.1134518998
109          9.684447e-03          3.608033e-03      -0.0151721913       -0.069595569       0.0818650736
110          1.737293e-02          3.805336e-02       0.0718408878       -0.048613679      -0.0077928802
111         -1.481145e-02         -2.931226e-02      -0.0225373370       -0.068264793       0.0835380057
112          9.856429e-03         -1.150306e-02      -0.0412014042       -0.057452543       0.0795736310
113          1.207680e-02         -4.763106e-03      -0.0299337294       -0.068667733       0.0867342709
114          1.328051e-02         -1.541051e-03      -0.0161545407       -0.113675061       0.0966210349
115          1.300985e-02          2.437533e-02      -0.0092226552       -0.083977334       0.0757132657
116          3.083565e-02          7.595338e-03      -0.0304250571       -0.054845594       0.0560931358
117         -1.138262e-02         -9.398381e-03       0.0677728391       -0.123517196       0.0162878746
118          5.609710e-03         -1.554484e-03      -0.0425491590       -0.066924593       0.0860053803
119          6.578535e-03         -4.035996e-03      -0.0269576937       -0.077063213       0.0880561869
120          7.068671e-03         -1.435425e-04      -0.0234756467       -0.094458019       0.1114404903
121          1.441135e-02         -3.275287e-02      -0.0274970980       -0.075156933       0.0798106982
